X,Y,MACH,TEMP,Pressure,h_g,FLUX
0.0000,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0030,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0061,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0091,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0122,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0152,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0182,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0213,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0243,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0274,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0304,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0334,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0365,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0395,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0425,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0456,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0486,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0517,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0547,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0577,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0608,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0638,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0669,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0699,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0729,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0760,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0790,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0821,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0851,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0881,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0912,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0942,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.0972,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
0.1003,0.0432,0.0835,3422.1080,27.4823,1531.4071,4245226.0053
