gam	m	p	t	ae	mach	isp	cp
1.23E+00	2.14E+01	1.01E+01	3.30E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.14E+01	5.66E+00	2.96E+03	1.00E+00	1.00E+00	1.17E+03	2.07E+00
1.23E+00	2.15E+01	1.22E+01	3.32E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.15E+01	6.79E+00	2.98E+03	1.00E+00	1.00E+00	1.17E+03	2.07E+00
1.23E+00	2.15E+01	1.42E+01	3.34E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.15E+01	7.93E+00	3.00E+03	1.00E+00	1.00E+00	1.17E+03	2.07E+00
1.23E+00	2.16E+01	1.62E+01	3.36E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.16E+01	9.06E+00	3.01E+03	1.00E+00	1.00E+00	1.18E+03	2.07E+00
1.22E+00	2.16E+01	1.82E+01	3.37E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.16E+01	1.02E+01	3.03E+03	1.00E+00	1.00E+00	1.18E+03	2.08E+00
1.22E+00	2.16E+01	2.03E+01	3.38E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.16E+01	1.13E+01	3.04E+03	1.00E+00	1.00E+00	1.18E+03	2.08E+00
1.22E+00	2.16E+01	2.23E+01	3.39E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.16E+01	1.25E+01	3.05E+03	1.00E+00	1.00E+00	1.18E+03	2.08E+00
1.22E+00	2.16E+01	2.43E+01	3.40E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.16E+01	1.36E+01	3.06E+03	1.00E+00	1.00E+00	1.18E+03	2.08E+00
1.22E+00	2.17E+01	2.63E+01	3.41E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.17E+01	1.47E+01	3.06E+03	1.00E+00	1.00E+00	1.18E+03	2.08E+00
1.22E+00	2.17E+01	2.84E+01	3.42E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.17E+01	1.59E+01	3.07E+03	1.00E+00	1.00E+00	1.18E+03	2.08E+00
1.22E+00	2.17E+01	3.04E+01	3.43E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.17E+01	1.70E+01	3.08E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.17E+01	3.24E+01	3.43E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.17E+01	1.81E+01	3.09E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.17E+01	3.45E+01	3.44E+03	0.00E+00	0.00E+00	0.00E+00	2.10E+00
1.23E+00	2.17E+01	1.93E+01	3.09E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.17E+01	3.65E+01	3.45E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.23E+00	2.17E+01	2.04E+01	3.10E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.17E+01	3.85E+01	3.45E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.23E+00	2.17E+01	2.15E+01	3.10E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.17E+01	4.05E+01	3.46E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.22E+00	2.17E+01	2.27E+01	3.11E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.18E+01	4.26E+01	3.46E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.22E+00	2.18E+01	2.38E+01	3.11E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.18E+01	4.46E+01	3.47E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.22E+00	2.18E+01	2.50E+01	3.12E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.18E+01	4.66E+01	3.47E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.22E+00	2.18E+01	2.61E+01	3.12E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.18E+01	4.86E+01	3.48E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.22E+00	2.18E+01	2.72E+01	3.13E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
1.22E+00	2.18E+01	5.07E+01	3.48E+03	0.00E+00	0.00E+00	0.00E+00	2.11E+00
1.22E+00	2.18E+01	2.84E+01	3.13E+03	1.00E+00	1.00E+00	1.19E+03	2.08E+00
