X,Y,MACH,TEMP,Pressure,h_g,FLUX
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0000,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0001,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0002,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
0.0003,0.0014,0.1137,3199.0889,5.8753,651.1212,1592700.2254
